,Month,Year,County,Arithmetic_Mean_ppb
1484,5,2012,Mariposa,0.8929613137290754
1485,5,2012,Mendocino,0.6736759477322136
1486,5,2012,Merced,1.2282616979343433
1487,5,2012,Monterey,0.5127253517701926
1488,5,2012,Napa,1.0718048515886671
1489,5,2012,Nevada,1.08561641503077
1490,5,2012,Orange,0.5039266443574809
1491,5,2012,Placer,0.7157370334314475
1492,5,2012,Riverside,0.5528280863475281
1493,5,2012,Sacramento,0.4466554628269284
1494,5,2012,San Benito,0.9287073883910237
1495,5,2012,San Bernardino,0.713407062647998
1496,5,2012,San Diego,0.3894865165619402
1497,5,2012,San Francisco,0.9286156113215042
1498,5,2012,San Joaquin,1.3269669308945586
1499,5,2012,San Luis Obispo,0.6304677850048727
1500,5,2012,San Mateo,1.0050027858932227
1501,5,2012,Santa Barbara,0.3285251475275342
1502,5,2012,Santa Clara,0.4155481722758058
1503,5,2012,Santa Cruz,0.8458681434240564
1504,5,2012,Shasta,0.8220934827554048
1505,5,2012,Siskiyou,0.9644987176117518
1506,5,2012,Solano,0.5877040504566929
1507,5,2012,Sonoma,0.8415261821711235
1508,5,2012,Stanislaus,0.8970577493436687
1509,5,2012,Sutter,1.199132388760202
1510,5,2012,Tehama,1.247365205340346
1511,5,2012,Tulare,0.8806385311095515
1512,5,2012,Tuolumne,1.1376999594709007
1513,5,2012,Ventura,0.5004126405109482
1514,5,2012,Yolo,0.6558086133266475
1515,5,2013,Alameda,0.7214904389621284
1516,5,2013,Amador,1.0123224630515477
1517,5,2013,Butte,1.154585275031647
1518,5,2013,Calaveras,1.2334632164268962
1519,5,2013,Colusa,0.9843551021795734
1520,5,2013,Contra Costa,0.8022723090507968
1521,5,2013,El Dorado,0.9173876112547463
1522,5,2013,Fresno,0.5955164538899822
1523,5,2013,Glenn,1.2121536469820071
1524,5,2013,Humboldt,0.6566214130406185
1525,5,2013,Imperial,0.9299548328304862
1526,5,2013,Inyo,0.7543367813969719
1527,5,2013,Kern,0.6113879551721435
1528,5,2013,Kings,1.044735936285578
1529,5,2013,Lake,1.346527744162561
1530,5,2013,Los Angeles,0.5287997978308286
1531,5,2013,Madera,0.9986293999557737
1532,5,2013,Marin,1.297469928461497
1533,5,2013,Mariposa,1.4277378683467352
1534,5,2013,Merced,1.2180285624363891
1535,5,2013,Monterey,0.6491223498707087
1536,5,2013,Napa,1.3439933259562917
1537,5,2013,Nevada,1.2535314679419756
1538,5,2013,Orange,0.6562320188475241
1539,5,2013,Placer,0.7102214677922121
1540,5,2013,Riverside,0.49700038269163865
1541,5,2013,Sacramento,0.475190259963677
1542,5,2013,San Benito,1.0770050985375959
1543,5,2013,San Bernardino,0.5885775344896275
1544,5,2013,San Diego,0.5584058562803275
1545,5,2013,San Francisco,1.0220019128580606
1546,5,2013,San Joaquin,1.2966890360262917
1547,5,2013,San Luis Obispo,0.6341142447196695
1548,5,2013,San Mateo,1.3504313269919583
1549,5,2013,Santa Barbara,0.42414823769303495
1550,5,2013,Santa Clara,0.589972525371081
1551,5,2013,Santa Cruz,0.8397944036297136
1552,5,2013,Shasta,0.850853357755242
1553,5,2013,Siskiyou,1.2632865990292361
1554,5,2013,Solano,0.813605575844208
1555,5,2013,Sonoma,0.9149522454961938
1556,5,2013,Stanislaus,0.8100617770601373
1557,5,2013,Sutter,1.1527843147145536
1558,5,2013,Tehama,1.2042773401298368
1559,5,2013,Tulare,1.0441179266034957
1560,5,2013,Tuolumne,1.3641889412757797
1561,5,2013,Ventura,0.7046810062077901
1562,5,2013,Yolo,0.8723315842595312
1563,5,2014,Alameda,0.6661593340132204
1564,5,2014,Amador,1.2911463593230639
1565,5,2014,Butte,1.093808891362704
1566,5,2014,Calaveras,1.4285374300205869
1567,5,2014,Colusa,0.8824321168567105
1568,5,2014,Contra Costa,0.6451040995058542
1569,5,2014,El Dorado,0.9808445592639707
1570,5,2014,Fresno,0.6315001709946937
1571,5,2014,Glenn,0.8940523110696001
1572,5,2014,Humboldt,0.6450161104820595
1573,5,2014,Imperial,0.8734661113047617
1574,5,2014,Inyo,0.63438111084809
1575,5,2014,Kern,0.6555617097609707
1576,5,2014,Kings,1.0944464630789859
1577,5,2014,Lake,0.9724343635065953
1578,5,2014,Los Angeles,0.48746726218421005
1579,5,2014,Madera,0.885970234002002
1580,5,2014,Marin,1.2394351378664994
1581,5,2014,Mariposa,1.2313402825309834
1582,5,2014,Mendocino,0.7953806871309977
1583,5,2014,Merced,1.6774554779815993
1584,5,2014,Monterey,0.7357896790892067
1585,5,2014,Napa,0.9807319565791495
1586,5,2014,Nevada,1.3853009903349438
1587,5,2014,Orange,0.6551242241602416
1588,5,2014,Placer,0.6619463984599978
1589,5,2014,Riverside,0.5759889134927244
1590,5,2014,Sacramento,0.485143630366293
1591,5,2014,San Benito,1.0802163729131224
1592,5,2014,San Bernardino,0.6160853810243816
1593,5,2014,San Diego,0.6612393848051048
1594,5,2014,San Francisco,1.0287871537062176
1595,5,2014,San Joaquin,1.1668983897634564
1596,5,2014,San Luis Obispo,0.5822520315460579
1597,5,2014,San Mateo,1.1807948230249627
1598,5,2014,Santa Barbara,0.483260314792307
1599,5,2014,Santa Clara,0.6407768974636189
1600,5,2014,Santa Cruz,1.2370665224883397
1601,5,2014,Shasta,0.6259458048214634
1602,5,2014,Siskiyou,0.8860310783098051
1603,5,2014,Solano,0.6655008624372767
1604,5,2014,Sonoma,0.9249404186664888
1605,5,2014,Stanislaus,1.0540711706547286
1606,5,2014,Sutter,1.1057871690689074
1607,5,2014,Tehama,1.0446301871416592
1608,5,2014,Tulare,1.0391938405063863
1609,5,2014,Tuolumne,1.5294858056747918
1610,5,2014,Ventura,0.6259614516295495
1611,5,2014,Yolo,0.721941014152655
1612,5,2015,Alameda,0.3861497996556503
1613,5,2015,Amador,0.7477505949195676
1614,5,2015,Butte,0.930229722840235
1615,5,2015,Calaveras,1.4330012663927336
1616,5,2015,Colusa,0.6276342942776878
1617,5,2015,Contra Costa,0.4462482639005449
1618,5,2015,El Dorado,0.8580822056586439
1619,5,2015,Fresno,0.45027296880873524
1620,5,2015,Glenn,0.5472097786645549
1621,5,2015,Humboldt,0.7593678498037493
1622,5,2015,Imperial,0.7104979841106566
1623,5,2015,Inyo,0.7448506380629387
1624,5,2015,Kern,0.4835965840490712
1625,5,2015,Kings,0.7821561284491991
1626,5,2015,Lake,1.098155525618326
1627,5,2015,Los Angeles,0.434885012582752
1628,5,2015,Madera,0.6432178663211237
1629,5,2015,Marin,0.8057795087483276
1630,5,2015,Mariposa,1.1082401541402176
1631,5,2015,Mendocino,1.0044021471515352
1632,5,2015,Merced,1.0491819105757063
1633,5,2015,Monterey,0.4855671010971277
1634,5,2015,Napa,0.6892683556078266
1635,5,2015,Nevada,1.0028945440429222
1636,5,2015,Orange,0.5174844805841106
1637,5,2015,Placer,0.54306568321477
1638,5,2015,Riverside,0.4126897471017133
1639,5,2015,Sacramento,0.3449673841485945
1640,5,2015,San Benito,0.5640637376292886
1641,5,2015,San Bernardino,0.5057721117762163
1642,5,2015,San Diego,0.47113096539064236
1643,5,2015,San Francisco,0.7966772823393612
1644,5,2015,San Joaquin,0.8211548634823471
1645,5,2015,San Luis Obispo,0.31630458837239517
1646,5,2015,San Mateo,0.7455727115398304
