,Month,Year,County,Temp_Celsius,Temp_Levels
484,2,2016,Sutter,13.145035134099603,Moderate
485,2,2016,Tulare,12.021850507662819,Moderate
486,2,2016,Ventura,17.16463968710088,Moderate
487,2,2016,Yolo,12.600894022988491,Moderate
488,3,2010,Amador,9.191358037037038,Moderate
489,3,2010,Butte,11.340703328460041,Moderate
490,3,2010,Calaveras,10.146604962962966,Moderate
491,3,2010,Colusa,11.949671433691758,Moderate
492,3,2010,Del Norte,8.837991746031745,Moderate
493,3,2010,El Dorado,5.950698489278751,Moderate
494,3,2010,Fresno,12.935282820788537,Moderate
495,3,2010,Glenn,11.845678981481482,Moderate
496,3,2010,Humboldt,8.744412528735632,Moderate
497,3,2010,Imperial,18.813547482929852,Moderate
498,3,2010,Inyo,10.59437563657407,Moderate
499,3,2010,Kern,13.501173609053497,Moderate
500,3,2010,Kings,12.59364479390681,Moderate
501,3,2010,Lake,7.455273958333334,Moderate
502,3,2010,Los Angeles,14.88801341880341,Moderate
503,3,2010,Madera,12.31257464157706,Moderate
504,3,2010,Marin,10.417413351254478,Moderate
505,3,2010,Mariposa,5.965262410546141,Moderate
506,3,2010,Merced,11.801523333333332,Moderate
507,3,2010,Mono,1.0431028214731584,Moderate
508,3,2010,Monterey,11.152007536231887,Moderate
509,3,2010,Orange,15.491044298724951,Moderate
510,3,2010,Placer,12.30990462962963,Moderate
511,3,2010,Riverside,15.515966666666655,Moderate
512,3,2010,Sacramento,12.195977434729816,Moderate
513,3,2010,San Benito,10.474204043715844,Moderate
514,3,2010,San Bernardino,12.331209703440097,Moderate
515,3,2010,San Diego,14.377252314068103,Moderate
516,3,2010,San Joaquin,12.534638370370368,Moderate
517,3,2010,San Luis Obispo,10.884963294930882,Moderate
518,3,2010,Santa Barbara,12.912548582791025,Moderate
519,3,2010,Santa Cruz,10.819471459510359,Moderate
520,3,2010,Shasta,1.1351495726495726,Moderate
521,3,2010,Stanislaus,13.218364166666666,Moderate
522,3,2010,Sutter,12.783004731182796,Moderate
523,3,2010,Tulare,10.732362808857811,Moderate
524,3,2010,Tuolumne,9.327846316872428,Moderate
525,3,2010,Ventura,13.813974450418161,Moderate
526,3,2010,Yolo,11.878733584229394,Moderate
527,3,2011,Amador,9.18827164814815,Moderate
528,3,2011,Butte,10.341370209551663,Moderate
529,3,2011,Calaveras,10.474030390946504,Moderate
530,3,2011,Colusa,11.513409961685825,Moderate
531,3,2011,Del Norte,9.092022555555555,Moderate
532,3,2011,El Dorado,4.9573030320150675,Moderate
533,3,2011,Fresno,12.7746934559387,Moderate
534,3,2011,Glenn,11.227623425925925,Moderate
535,3,2011,Humboldt,7.829447490421456,Moderate
536,3,2011,Imperial,19.952332556458895,Moderate
537,3,2011,Inyo,11.119028816823901,Moderate
